ENT1	ENT2	Properties
Q36554	Q35672	['P17', 'P2341']
Q34011	Q683	['P17', 'P2341']
Q13955	Q48214	nan
Q25258	Q4628	['P17', 'P2341']
Q7918	Q219	['P17', 'P2341']
Q9299	Q403	['P17', 'P2341']
Q33569	Q782	['P2341']
Q36451	Q664	['P17']
Q7737	Q159	nan
Q33797	Q31057	['P2341']
Q36554	Q34770	['P31']
Q34011	Q34770	['P31']
Q13955	Q34770	['P31']
Q25258	Q34770	['P31']
Q7918	Q34770	['P31']
Q9299	Q34770	nan
Q33569	Q34770	['P31']
Q36451	Q34770	['P31']
Q7737	Q34770	['P31']
Q33797	Q34770	nan
Q41	Q46	['P30']
Q155	Q18	['P30', 'P361']
Q869	Q48	['P30']
Q1033	Q15	['P30']
Q32	Q46	['P30']
Q811	Q27611	['P361']
Q77	Q18	['P30', 'P361']
Q800	Q27611	['P361']
Q1014	Q15	['P30']
Q258	Q15	['P30', 'P138']
Q244	Q27611	nan
Q1028	Q15	['P30']
Q14110517	Q46	nan
Q399	Q48	['P30']
Q1011	Q15	['P30']
Q262	Q15	['P30']
Q733	Q18	['P30', 'P361']
Q228	Q46	['P30']
Q965	Q15	['P30']
Q29	Q46	['P30', 'P361']
Q242	Q27611	['P361']
Q219	Q46	['P30']
Q28	Q46	['P30']
Q34932	Q408	['P17']
Q97272477	Q142	nan
Q911	Q159	['P17']
Q13972	Q191	['P17']
Q4035	Q155	['P17']
Q40191	Q408	['P17']
Q3130	Q408	['P17']
Q19520	Q159	['P17']
Q1055	Q183	['P17', 'P131']
Q15220504	Q38	['P17']
Q2837	Q159	['P17']
Q15869	Q177220	['P106']
Q34584	Q177220	['P106']
Q32927	Q177220	['P106']
Q6522077	Q177220	['P106']
Q78516	Q177220	nan
Q30449	Q177220	['P106']
Q568578	Q177220	nan
Q318158	Q33999	['P106']
Q284636	Q33999	['P106']
Q19794	Q33999	['P106']
Q23359	Q33999	['P106']
Q2670396	Q33999	['P106']
Q23891	Q33999	['P106']
Q2704200	Q33999	['P106']
Q116188	Q33999	['P106']
Q1375057	Q33999	['P106']
Q35332	Q33999	nan
Q64	Q183	['P17', 'P131', 'P1376']
Q1754	Q34	['P17', 'P1376']
Q3711	Q403	['P17', 'P1376']
Q2449	Q1045	['P17', 'P1376']
Q11568	Q17872	nan
Q30966	Q34020	['P17', 'P131', 'P1376']
Q3114	Q408	['P17', 'P1376']
Q3630	Q252	['P17', 'P131', 'P1376']
Q3894	Q1036	['P17', 'P1376']
Q30963	Q31057	['P131', 'P1376']
Q29445	Q797	['P1376']
Q39421306	Q926768	['P131']
Q649	Q159	['P17', 'P131', 'P1376']
Q1748	Q35	['P17', 'P1376']
Q216	Q37	['P17', 'P1376']
Q757	Q112099	['P31']
Q697	Q112099	['P31']
Q1019	Q112099	['P31']
Q664	Q112099	['P31']
Q1027	Q112099	['P31']
Q754	Q112099	['P31']
Q760	Q112099	['P31']
Q1011	Q112099	['P31']
Q4873233	Q23442	['P31']
Q17070	Q23442	nan
Q25277	Q23442	['P31']
Q1043128	Q23442	['P31']
Q14056	Q23442	['P31']
Q23907909	Q33999	nan
